TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1264405521,36.0757789,136.2132966,0.53,,,,,,
1264425839,36.0757789,136.2132966,0.53,,,,,,
1264465743,36.0757789,136.2132966,0.53,,,,,,
1264468328,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264485535,36.0757789,136.2132966,0.53,,,,,,
1264505524,36.0757789,136.2132966,0.53,,,,,,
1264545554,36.0757789,136.2132966,0.53,,,,,,
1264565707,36.0757789,136.2132966,0.53,,,,,,
1264568361,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264605492,36.0757789,136.2132966,0.53,,,,,,
1264645534,36.0757789,136.2132966,0.53,,,,,,
1264668434,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264685523,36.0757789,136.2132966,0.53,,,,,,
1264705458,36.0757789,136.2132966,0.53,,,,,,
1264745536,36.0757789,136.2132966,0.53,,,,,,
1264765683,36.0757789,136.2132966,0.53,,,,,,
1264768382,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264785522,36.0757789,136.2132966,0.53,,,,,,
1264825937,36.0757789,136.2132966,0.53,,,,,,
1264845488,36.0757789,136.2132966,0.53,,,,,,
1264865701,36.0757789,136.2132966,0.53,,,,,,
1264868440,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264905479,36.0757789,136.2132966,0.53,,,,,,
1264945521,36.0757789,136.2132966,0.53,,,,,,
1264965745,36.0757789,136.2132966,0.53,,,,,,
1264968368,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264985532,36.0757789,136.2132966,0.53,,,,,,
1265025902,36.0757789,136.2132966,0.53,,,,,,
1265065719,36.0757789,136.2132966,0.53,,,,,,
1265068352,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265085481,36.0757789,136.2132966,0.53,,,,,,
1265105524,36.0757789,136.2132966,0.53,,,,,,
1265125727,36.0757789,136.2132966,0.53,,,,,,
1265165722,36.0757789,136.2132966,0.53,,,,,,
1265168381,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265185558,36.0757789,136.2132966,0.53,,,,,,
1265205539,36.0757789,136.2132966,0.53,,,,,,
1265245550,36.0757789,136.2132966,0.53,,,,,,
1265265851,36.0757789,136.2132966,0.53,,,,,,
